SUMMARY______________________________,,,,,
files:,,,,,
Gdax_BTCUSD_1h_new.csv,,,,,
Gdax_ETHUSD_1h_new.csv,,,,,
predInd=2,d=1,,,,
inputs:     2,,,,,
,,,,,
trainMSE,testMSE,n,g_p,C,params
84.719681,7.581241,10,0.001,100,-s 3 -t 2 -g 1.000000e-04 -c 100
82.684985,7.721906,30,0.001,100,-s 3 -t 2 -g 3.333333e-05 -c 100
83.915488,7.680932,100,0.001,100,-s 3 -t 2 -g 1.000000e-05 -c 100
86.716774,7.911479,300,0.001,100,-s 3 -t 2 -g 3.333333e-06 -c 100
78.245077,7.041644,3,0.01,100,-s 3 -t 2 -g 3.333333e-03 -c 100
79.018427,7.092554,10,0.01,100,-s 3 -t 2 -g 1.000000e-03 -c 100
78.15072,7.328027,30,0.01,100,-s 3 -t 2 -g 3.333333e-04 -c 100
76.78162,7.361631,100,0.01,100,-s 3 -t 2 -g 1.000000e-04 -c 100
76.617724,7.677544,300,0.01,100,-s 3 -t 2 -g 3.333333e-05 -c 100
75.953577,7.593703,3,0.1,100,-s 3 -t 2 -g 3.333333e-02 -c 100
76.131018,7.864457,10,0.1,100,-s 3 -t 2 -g 1.000000e-02 -c 100
74.689047,7.844979,30,0.1,100,-s 3 -t 2 -g 3.333333e-03 -c 100
75.168281,7.453104,100,0.1,100,-s 3 -t 2 -g 1.000000e-03 -c 100
72.796729,8.097507,300,0.1,100,-s 3 -t 2 -g 3.333333e-04 -c 100
73.351802,7.480024,3,1,100,-s 3 -t 2 -g 3.333333e-01 -c 100
66.356132,7.933084,10,1,100,-s 3 -t 2 -g 1.000000e-01 -c 100
52.9834,7.870368,30,1,100,-s 3 -t 2 -g 3.333333e-02 -c 100
49.571695,7.90267,100,1,100,-s 3 -t 2 -g 1.000000e-02 -c 100
51.539632,9.044581,300,1,100,-s 3 -t 2 -g 3.333333e-03 -c 100
64.889989,7.295545,3,10,100,-s 3 -t 2 -g 3.333333e+00 -c 100
40.377367,7.545375,10,10,100,-s 3 -t 2 -g 1 -c 100
33.823745,7.925015,30,10,100,-s 3 -t 2 -g 3.333333e-01 -c 100
32.145362,9.841076,100,10,100,-s 3 -t 2 -g 1.000000e-01 -c 100
36.353664,12.364775,300,10,100,-s 3 -t 2 -g 3.333333e-02 -c 100
50.181033,8.094611,3,100,100,-s 3 -t 2 -g 3.333333e+01 -c 100
33.514174,10.306986,10,100,100,-s 3 -t 2 -g 10 -c 100
31.075031,10.265768,30,100,100,-s 3 -t 2 -g 3.333333e+00 -c 100
30.658903,12.12165,100,100,100,-s 3 -t 2 -g 1 -c 100
31.283313,14.316796,300,100,100,-s 3 -t 2 -g 3.333333e-01 -c 100
39.16521,14.78715,3,1000,100,-s 3 -t 2 -g 3.333333e+02 -c 100
30.653794,11.518253,10,1000,100,-s 3 -t 2 -g 100 -c 100
29.525367,9.828935,30,1000,100,-s 3 -t 2 -g 3.333333e+01 -c 100
27.351793,8.339728,100,1000,100,-s 3 -t 2 -g 10 -c 100
26.311421,8.43344,300,1000,100,-s 3 -t 2 -g 3.333333e+00 -c 100
78.474295,7.03104,3,0.001,1000,-s 3 -t 2 -g 3.333333e-04 -c 1000
79.13365,7.09251,10,0.001,1000,-s 3 -t 2 -g 1.000000e-04 -c 1000
78.203942,7.34455,30,0.001,1000,-s 3 -t 2 -g 3.333333e-05 -c 1000
76.796137,7.358968,100,0.001,1000,-s 3 -t 2 -g 1.000000e-05 -c 1000
76.618282,7.681061,300,0.001,1000,-s 3 -t 2 -g 3.333333e-06 -c 1000
77.253937,7.264814,3,0.01,1000,-s 3 -t 2 -g 3.333333e-03 -c 1000
77.508276,7.1946,10,0.01,1000,-s 3 -t 2 -g 1.000000e-03 -c 1000
76.360352,7.245509,30,0.01,1000,-s 3 -t 2 -g 3.333333e-04 -c 1000
76.105039,7.493526,100,0.01,1000,-s 3 -t 2 -g 1.000000e-04 -c 1000
73.283042,8.088199,300,0.01,1000,-s 3 -t 2 -g 3.333333e-05 -c 1000
75.611261,7.71633,3,0.1,1000,-s 3 -t 2 -g 3.333333e-02 -c 1000
73.939261,8.527794,10,0.1,1000,-s 3 -t 2 -g 1.000000e-02 -c 1000
67.029996,8.381691,30,0.1,1000,-s 3 -t 2 -g 3.333333e-03 -c 1000
68.624254,7.671234,100,0.1,1000,-s 3 -t 2 -g 1.000000e-03 -c 1000
69.146004,8.519777,300,0.1,1000,-s 3 -t 2 -g 3.333333e-04 -c 1000
71.914776,7.274245,3,1,1000,-s 3 -t 2 -g 3.333333e-01 -c 1000
57.443734,7.485959,10,1,1000,-s 3 -t 2 -g 1.000000e-01 -c 1000
43.934902,7.297772,30,1,1000,-s 3 -t 2 -g 3.333333e-02 -c 1000
34.321899,8.429049,100,1,1000,-s 3 -t 2 -g 1.000000e-02 -c 1000
37.676164,10.523962,300,1,1000,-s 3 -t 2 -g 3.333333e-03 -c 1000
62.8919,7.463013,3,10,1000,-s 3 -t 2 -g 3.333333e+00 -c 1000
35.016899,7.348217,10,10,1000,-s 3 -t 2 -g 1 -c 1000
34.311473,8.798182,30,10,1000,-s 3 -t 2 -g 3.333333e-01 -c 1000
33.097673,10.725423,100,10,1000,-s 3 -t 2 -g 1.000000e-01 -c 1000
36.447866,12.555085,300,10,1000,-s 3 -t 2 -g 3.333333e-02 -c 1000
47.739604,8.146632,3,100,1000,-s 3 -t 2 -g 3.333333e+01 -c 1000
34.975418,12.402014,10,100,1000,-s 3 -t 2 -g 10 -c 1000
31.075031,10.265768,30,100,1000,-s 3 -t 2 -g 3.333333e+00 -c 1000
30.658903,12.12165,100,100,1000,-s 3 -t 2 -g 1 -c 1000
31.283313,14.316796,300,100,1000,-s 3 -t 2 -g 3.333333e-01 -c 1000
41.432338,18.552171,3,1000,1000,-s 3 -t 2 -g 3.333333e+02 -c 1000
30.653794,11.518253,10,1000,1000,-s 3 -t 2 -g 100 -c 1000
29.525367,9.828935,30,1000,1000,-s 3 -t 2 -g 3.333333e+01 -c 1000
27.351793,8.339728,100,1000,1000,-s 3 -t 2 -g 10 -c 1000
26.311421,8.43344,300,1000,1000,-s 3 -t 2 -g 3.333333e+00 -c 1000
