Created on 03-03-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-22 01-AM,ETHUSD,842.6,851.75,842.59,851.75,6617.7,5614462.92
2018-02-22 12-AM,ETHUSD,840.34,842.6,831.63,842.6,3350.5,2801752.96
2018-02-21 11-PM,ETHUSD,840.5,844.27,838.46,840.34,2435.53,2048641.15
2018-02-21 10-PM,ETHUSD,827,840.5,824.71,840.5,5107.18,4255250.24
2018-02-21 09-PM,ETHUSD,826.28,835,824.5,827,3364.54,2789088.95
2018-02-21 08-PM,ETHUSD,831,836.92,820,826.28,5573.72,4600239.56
2018-02-21 07-PM,ETHUSD,835.15,839.97,827.1,831,3696.0,3080640.83
2018-02-21 06-PM,ETHUSD,825.52,849,825.29,835.15,9488.78,7959967.85
2018-02-21 05-PM,ETHUSD,831.5,831.51,817.01,825.52,6513.3,5361899.99
2018-02-21 04-PM,ETHUSD,841.87,842,818.69,831.5,7445.05,6182013.7
2018-02-21 03-PM,ETHUSD,860.97,860.97,828.3,841.87,11950.54,10055001.9
2018-02-21 02-PM,ETHUSD,868.78,871.5,851,860.97,8761.67,7533789.06
2018-02-21 01-PM,ETHUSD,888.4,894,866.18,868.78,3204.67,2823268.7
2018-02-21 12-PM,ETHUSD,883.15,890,882.31,888.4,1710.06,1517867.66
2018-02-21 11-AM,ETHUSD,884.9,892.24,880.84,883.15,1589.27,1409163.34
2018-02-21 10-AM,ETHUSD,894.81,895.61,881,884.9,1922.08,1703152.46
2018-02-21 09-AM,ETHUSD,884.15,895.25,881,894.81,1284.89,1140095.43
2018-02-21 08-AM,ETHUSD,890,890,877,884.15,2172.94,1920057.55
2018-02-21 07-AM,ETHUSD,891.96,894.11,879.07,890,3055.23,2710233.22
2018-02-21 06-AM,ETHUSD,873.31,893.8,873.3,891.96,3139.84,2775802.07
2018-02-21 05-AM,ETHUSD,870.44,880.22,869.5,873.31,3928.92,3435537.25
2018-02-21 04-AM,ETHUSD,883.98,883.99,865.91,870.44,6803.44,5941878.43
2018-02-21 03-AM,ETHUSD,896,899.86,882.21,883.98,4344.21,3879525.92
2018-02-21 02-AM,ETHUSD,894.81,898,884.95,896,5582.39,4972341.47
2018-02-21 01-AM,ETHUSD,890.31,908.15,885,894.81,9624.93,8627147.4
2018-02-21 12-AM,ETHUSD,884.76,890.31,857.55,890.31,15391.9,13377273.58
2018-02-20 11-PM,ETHUSD,893.01,895.23,875,884.76,15003.82,13284290.37
2018-02-20 10-PM,ETHUSD,916.16,916.18,881,893.01,13338.53,12016321.17
2018-02-20 09-PM,ETHUSD,917.86,918.36,914,916.16,5140.02,4710137.59
2018-02-20 08-PM,ETHUSD,919.99,923.39,916.62,917.86,4899.29,4505075.27
2018-02-20 07-PM,ETHUSD,924.83,926,915.95,919.99,5228.33,4820828.77
2018-02-20 06-PM,ETHUSD,931.99,932,922.77,924.83,5040.21,4681797.12
2018-02-20 05-PM,ETHUSD,932,937,931.98,931.99,4700.57,4393826.46
2018-02-20 04-PM,ETHUSD,936.99,942.77,931.59,932,5017.43,4695766.51
2018-02-20 03-PM,ETHUSD,938,938.25,933.95,936.99,3385.46,3167251.91
2018-02-20 02-PM,ETHUSD,944.91,946,936.97,938,2695.83,2536226.63
2018-02-20 01-PM,ETHUSD,938.77,946.92,937.98,944.91,1737.42,1638303.43
2018-02-20 12-PM,ETHUSD,937.99,945,937.98,938.77,2205.51,2074933.89
2018-02-20 11-AM,ETHUSD,935.34,938.5,933.11,937.99,1398.65,1308993.6
2018-02-20 10-AM,ETHUSD,937.08,937.74,933.12,935.34,1616.42,1512776.89
2018-02-20 09-AM,ETHUSD,937.72,937.99,930.01,937.08,3535.72,3299990.25
2018-02-20 08-AM,ETHUSD,947.82,947.85,936,937.72,3544.44,3340043.19
2018-02-20 07-AM,ETHUSD,956.84,958,946,947.82,3773.63,3597435.65
2018-02-20 06-AM,ETHUSD,946.81,956.99,944.01,956.84,7177.24,6815768.53
2018-02-20 05-AM,ETHUSD,946.5,948.1,944.99,946.81,2457.18,2326506.09
2018-02-20 04-AM,ETHUSD,943.03,947.94,943.02,946.5,3633.44,3437596.38
2018-02-20 03-AM,ETHUSD,943.45,945.5,940,943.03,2487.35,2342660.33
2018-02-20 02-AM,ETHUSD,948.72,948.84,942.68,943.45,1648.68,1560524.62
2018-02-20 01-AM,ETHUSD,947.3,949.5,941,948.72,5391.87,5102477.45
2018-02-20 12-AM,ETHUSD,939.01,947.3,935.69,947.3,3266.29,3080134.42
2018-02-19 11-PM,ETHUSD,935.04,939.13,932.25,939.01,1186.27,1110718.26
2018-02-19 10-PM,ETHUSD,934.86,937.41,934.86,935.04,1148.86,1075197.58
2018-02-19 09-PM,ETHUSD,940.71,940.71,931.28,934.86,3846.78,3601916.01
2018-02-19 08-PM,ETHUSD,943.26,943.26,938,940.71,2681.7,2521670.53
2018-02-19 07-PM,ETHUSD,944.09,946,941.23,943.26,2336.09,2203831.82
2018-02-19 06-PM,ETHUSD,940.01,946.38,940,944.09,1984.13,1869457.63
2018-02-19 05-PM,ETHUSD,944.05,947.03,940,940.01,4816.81,4543099.3
2018-02-19 04-PM,ETHUSD,950.91,956,944.04,944.05,4088.38,3890988.92
2018-02-19 03-PM,ETHUSD,943.51,950.92,942.1,950.91,2561.15,2430337.27
2018-02-19 02-PM,ETHUSD,942.05,947.13,940.34,943.51,1490.76,1406833.18
2018-02-19 01-PM,ETHUSD,946.39,946.39,940.57,942.05,1261.39,1189380.44
2018-02-19 12-PM,ETHUSD,942.22,948.68,942.22,946.39,1146.71,1086341.65
2018-02-19 11-AM,ETHUSD,943.75,946.75,942.22,942.22,1018.13,962624.62
2018-02-19 10-AM,ETHUSD,945,950.01,940.96,943.75,2972.24,2811046.17
2018-02-19 09-AM,ETHUSD,940.02,945,936.35,945,1581.64,1486449.99
2018-02-19 08-AM,ETHUSD,941.4,942.91,937.34,940.02,1265.92,1190372.87
2018-02-19 07-AM,ETHUSD,924.41,942.9,923.92,941.4,3087.18,2889822.21
2018-02-19 06-AM,ETHUSD,926.19,927.99,921.48,924.41,982.27,908200.05
2018-02-19 05-AM,ETHUSD,927,927.01,921.69,926.19,2166.81,2003969.28
2018-02-19 04-AM,ETHUSD,922.84,927,922.84,927,1049.42,971458.85
2018-02-19 03-AM,ETHUSD,927,927,922.83,922.84,945.82,875324.33
2018-02-19 02-AM,ETHUSD,925,927.09,915,927,2069.29,1907984.96
2018-02-19 01-AM,ETHUSD,919.99,930,918.36,925,3556.97,3293806.09
2018-02-19 12-AM,ETHUSD,912.41,920.45,911,919.99,2219.79,2033597.45
2018-02-18 11-PM,ETHUSD,917.9,917.95,912,912.41,4625.12,4232503.22
2018-02-18 10-PM,ETHUSD,931.2,932.9,915.45,917.9,2526.84,2331299.74
2018-02-18 09-PM,ETHUSD,938.01,938.01,922.09,931.2,3558.47,3304968.37
2018-02-18 08-PM,ETHUSD,943.7,943.75,937.42,938.01,1492.21,1404260.85
2018-02-18 07-PM,ETHUSD,940.02,944,934.74,943.7,2356.45,2216212.02
2018-02-18 06-PM,ETHUSD,937.02,940.8,929.54,940.02,2644.15,2473474.67
2018-02-18 05-PM,ETHUSD,931.82,939.79,927.28,937.02,2489.02,2325902.03
2018-02-18 04-PM,ETHUSD,937.41,938.01,925.38,931.82,3487.44,3245865.01
2018-02-18 03-PM,ETHUSD,946.01,949.98,934.55,937.41,3585.06,3385325.17
2018-02-18 02-PM,ETHUSD,945.47,949.41,943,946.01,1656.7,1568178.95
2018-02-18 01-PM,ETHUSD,934.74,947,932.53,945.47,3303.01,3113880.41
2018-02-18 12-PM,ETHUSD,934.79,936.02,922.87,934.74,2561.17,2384762.26
2018-02-18 11-AM,ETHUSD,924.99,935.9,921,934.79,2334.68,2168771.05
2018-02-18 10-AM,ETHUSD,910,925,909.1,924.99,3529.37,3236152.39
2018-02-18 09-AM,ETHUSD,921.58,928.98,910,910,3808.88,3498826.7
2018-02-18 08-AM,ETHUSD,938.94,938.94,920.98,921.58,2539.88,2362687.27
2018-02-18 07-AM,ETHUSD,926.96,938.94,925,938.94,2952.26,2748772.83
2018-02-18 06-AM,ETHUSD,926.01,940.21,921.5,926.96,7949.16,7394944.83
